,product name,image url 1,image url 2,price,category
240,Printed Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e01_blue__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/w/t/wtp19e01_blue__1_.jpg,"PKR3,000",Printed kurta with pearl detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
241,Embroidered Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19114_orange__1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19114_orange__4_.jpg,"PKR3,000",Embroidered kurta.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
242,Embroidered Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19113a_orange_jpg_2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19113a_orange_jpg_1_.jpg,"PKR3,000",Embroidered kurta.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
243,Embroidered Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19111b_pink_3_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19111b_pink_2_.jpg,"PKR3,000",Embroidered kurta with button detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
244,Embroidered Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19111a_grey_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19111a_grey_2_.jpg,"PKR3,000",Embroidered kurta with button detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
245,Embroidered Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19109_red__1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19109_red__2_.jpg,"PKR3,000",Embroidered Kurta with button detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
246,Embroidered Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19109_green__1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etpe19109_green__2_.jpg,"PKR3,000",Embroidered Kurta with button detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
247,Embroidered Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etdpe19106_pink__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etdpe19106_pink__1_.jpg,"PKR3,300",Embroidered kurta with button detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
248,Embroidered Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etdpe19104_turquoise__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etdpe19104_turquoise__1_.jpg,"PKR3,300",Embroidered kurta with tassel detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
249,Embroidered Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etdpe19103_2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etdpe19103_1_.jpg,"PKR3,300",Embroidered kurta with button detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
250,Embroidered Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etdpe19102_grey__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etdpe19102_grey__1_.jpg,"PKR3,300",Digital embroidered kurta with button detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
251,Embroidered Kurta,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etdpe19102_blue__2_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/e/t/etdpe19102_blue__1_.jpg,"PKR3,300",Digital embroidered kurta with button detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.
