,product name,image url,product category,price
56,JJVC-27235/S18/JJ5842,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjvc-27235_1_.jpg,Waist Coat,"PKR8,390.00"
57,JJK-W-30419/W18/JJ5693,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/0/30419_2_.jpg,Men Kurta,"PKR6,190.00"
58,JJK-A-38219/W18/JMS15275,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/8/38219-1.jpg,Men Kurta,"PKR4,190.00"
59,JJ-CAP-0002-R21/W18/JJ5997,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jj-cap-0002-r21.jpg,Men Caps,"PKR1,690.00"
60,JJVC-27177/S18/JJ5742,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjvc-27177_1_.jpg,Waist Coat,"PKR9,490.00"
61,JJVC-27222/S18/JJ5853,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/2/7/27222-1.jpg,Waist Coat,"PKR6,990.00"
62,JJVC-27162/S17/JJ5625,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/2/7/27162-2.jpg,Waist Coat,"PKR8,585.00"
63,JJID-SHAWL/S1216/JJ4610,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/_/3_48_198.jpg,Banarsi jamawar fabric stoles with tassels,"PKR2,885.00"
64,JJID-SHAWL/S1216/JJ4902,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/_/3_49_7.jpg,Banarsi jamawar fabric stoles with tassels,"PKR2,885.00"
65,JJID-SHAWL/S1216/JJ4947,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/_/3_49_2.jpg,Banarsi jamawar fabric stoles with tassels,"PKR2,985.00"
66,JJFW-JPC-039/S0716/JJ5218,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/_/1_50_175.jpg,Handcrafted Peshawari footwear given a theme of fine quality Printed Corduroy Fabric Designed over single layer Sole.,"PKR2,285.00"
67,JJVC-27010 FB/JJ-4642,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/j/j/jjvc-27010_2_.jpg,,"PKR8,485.00"
68,JJVC-27045/S0316 FB/JJ4646,https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/_/1_15_55.jpg,JJVC-27045 ,"PKR7,485.00"
69,White Cotton - Men Shalwar (JJS-109),https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/1/_/1_49_53.jpg, WHITE,"PKR1,185.00"
70,Off-White Cotton Silk - Men Shalwar (JJS-102),https://www.junaidjamshed.com/media/catalog/product/cache/small_image/600x800/beff4985b56e3afdbeabfc89641a4582/3/_/3_1.JPG,Color: Off-WhiteFabric: Cotton SilkProduct Category: Men Bottom,PKR885.00
