,product name,image url,product category,price
77,Mehron Fancy Woven (OGD#02),https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_1352.jpg,Men-Fabric-190209,"PKR 2,835"
78,Green Fancy Woven (OGD#01),https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_1623.jpg,Men-Fabric-190188,"PKR 2,835"
79,Cream Fancy Woven (GD#01),https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_1178.jpg,Men-Fabric-186815,"PKR 2,790"
80,Off White KARANDI SILK,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_0203.jpg,Men-Fabric-191868,"PKR 4,130"
81,Off White HI TEX SATIN,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_9925.jpg,Men-Fabric-173448,"PKR 3,825"
82,Light Brown GUL 90000 (P-ULTRA S,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/s/dsc_9795.jpg,Men-Fabric-102793,"PKR 2,520"
83,Orange Plain Kurta KE-1332,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/k/e/ke-1332_3_.jpg,M-AP-19-193970 -P,PKR 998
84,Brown Shalwar Kameez SKP-748,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-748_1_.jpg,M-AP-19-193639 -P,"PKR 2,697"
85,Brown Shalwar Kameez SKP-719,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-719_3_.jpg,M-AP-19-193494 -P,"PKR 2,247"
86,Sky Blue Shalwar Kameez SKP-713,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-713_1_.jpg,M-AP-19-193139 -P,"PKR 2,247"
87,Cream Shalwar Kameez SKP-710,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-710_2_.jpg,M-AP-19-193124 -P,"PKR 2,247"
88,Off White Shalwar Kameez SKP-709,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-709_1_.jpg,M-AP-19-193119 -P,"PKR 2,247"
89,Off White Shalwar Kameez SKP-688,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-688_1_.jpg,M-AP-19-190618 -P,"PKR 2,622"
90,Off White Shalwar Kameez SKP-688,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-688_1_.jpg,M-AP-19-190618 -P,"PKR 2,622"
91,White Shalwar Kameez SKP-687,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-687_1_.jpg,M-AP-19-190613 -P,"PKR 2,622"
92,Brown Shalwar Kameez SKP-677,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-677_3_.jpg,M-AP-19-190603 -P,"PKR 2,247"
93,Charcoal Shalwar Kameez SKP-676,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/s/k/skp-676_3_.jpg,M-AP-19-190598 -P,"PKR 2,247"
94,Camel Plain Kurta KS-687,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/k/s/ks-687_3_.jpg,M-AP-19-190563 -P,"PKR 1,498"
95,Brown Plain Kurta KE-1305,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/k/e/ke-1305_3_.jpg,M-AP-19-190488 -P,"PKR 1,348"
96,Grey Plain Kurta KS-677,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/k/s/ks-677_3_.jpg,M-AP-19-188080 -P,"PKR 1,498"
97,Off White Plain Kurta KP-1435,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/k/p/kp-1435_3_.jpg,M-AP-19-180050 -P,"PKR 1,248"
98,Navy Rust Casual Shirt CM-YD-2662,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2662_1__1.jpg,M-AP-19-191646 -P,"PKR 1,797"
99,Sky Blue Casual Shirt CM-YD-2677,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2677_3_.jpg,M-AP-19-192769 -P,"PKR 1,797"
100,Blue Casual Shirt CM-YD-2676,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2676asdas_1_.jpg,M-AP-19-192764 -P,"PKR 1,797"
101,White Casual Shirt CM-YD-2675,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2675_2_.jpg,M-AP-19-192759 -P,"PKR 1,797"
102,Charcoal Casual Shirt CM-YD-2674,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2674_1_.jpg,M-AP-19-192754 -P,"PKR 1,797"
103,Light Blue Casual Shirt CM-YD-2673,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2673_4_.jpg,M-AP-19-192749 -P,"PKR 1,797"
104,Black & Off White Casual Shirt CM-YD-2666,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2666_3_.jpg,M-AP-19-191666 -P,"PKR 1,797"
105,Brown & Red Casual Shirt CM-YD-2665,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2665_1_.jpg,M-AP-19-191661 -P,"PKR 1,797"
106,Off White Casual Shirt CM-YD-2661,https://d224nth7ac0evy.cloudfront.net/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/c/m/cm-yd-2661_3_.jpg,M-AP-19-191641 -P,"PKR 1,797"
